time(s)	,         LorenzX	,          LorenzY		,          LorenzZ		
                (x ,   y)               (x ,   y ,   z)                 (x ,   y ,   z)

0.01	,	[1.   1.26]	,	[1.   1.26 0.98]	,	[1.   1.26 0.98]
0.02	,	[1.03 1.52]	,	[1.03 1.52 0.97]	,	[1.03 1.52 0.97]
0.03	,	[1.08 1.78]	,	[1.08 1.78 0.96]	,	[1.08 1.78 0.96]
0.04	,	[1.15 2.05]	,	[1.15 2.05 0.95]	,	[1.15 2.05 0.95]
0.05	,	[1.24 2.34]	,	[1.24 2.34 0.95]	,	[1.24 2.34 0.95]
0.06	,	[1.35 2.65]	,	[1.35 2.65 0.95]	,	[1.35 2.65 0.95]
0.07	,	[1.48 2.99]	,	[1.48 2.99 0.96]	,	[1.48 2.99 0.96]
0.08	,	[1.63 3.36]	,	[1.63 3.36 0.98]	,	[1.63 3.36 0.98]
0.09	,	[1.8  3.77]	,	[1.8  3.77 1.01]	,	[1.8  3.77 1.01]
0.1	,	[2.   4.22]	,	[2.   4.22 1.05]	,	[2.   4.22 1.05]
0.11	,	[2.22 4.71]	,	[2.22 4.71 1.11]	,	[2.22 4.71 1.11]
0.12	,	[2.47 5.26]	,	[2.47 5.26 1.18]	,	[2.47 5.26 1.18]
0.13	,	[2.75 5.87]	,	[2.75 5.87 1.28]	,	[2.75 5.87 1.28]
0.14	,	[3.06 6.55]	,	[3.06 6.55 1.41]	,	[3.06 6.55 1.41]
0.15	,	[3.41 7.3 ]	,	[3.41 7.3  1.57]	,	[3.41 7.3  1.57]
0.16	,	[3.8  8.12]	,	[3.8  8.12 1.78]	,	[3.8  8.12 1.78]
0.17	,	[4.23 9.04]	,	[4.23 9.04 2.04]	,	[4.23 9.04 2.04]
0.18	,	[ 4.71 10.05]	,	[ 4.71 10.05  2.37]	,	[ 4.71 10.05  2.37]
0.19	,	[ 5.24 11.15]	,	[ 5.24 11.15  2.78]	,	[ 5.24 11.15  2.78]
0.2	,	[ 5.84 12.36]	,	[ 5.84 12.36  3.29]	,	[ 5.84 12.36  3.29]
0.21	,	[ 6.49 13.68]	,	[ 6.49 13.68  3.92]	,	[ 6.49 13.68  3.92]
0.22	,	[ 7.21 15.11]	,	[ 7.21 15.11  4.71]	,	[ 7.21 15.11  4.71]
0.23	,	[ 8.   16.64]	,	[ 8.   16.64  5.67]	,	[ 8.   16.64  5.67]
